,well,sample,depth,aft_age,aft_age_stderr_min,aft_age_stderr_plus,length_mean,length_std,simulated_AFT_min,simulated_AFT_max,GOF_aft_ages,age_error,modeled_age_prov_0_kinetic_param_0,modeled_age_prov_0_kinetic_param_1,modeled_age_prov_1_kinetic_param_0,modeled_age_prov_1_kinetic_param_1
4,NDW-01,NDW01-1,2649.5,132.92,33.75,45.08,11.54055405,1.935521126,69.27105685429346,331.0710307405231,0.6846629198218508,69.27075290745944,,,,
5,NDW-01,NDW01-2,2813.0,23.65,13.04,29.02,10.02190685,2.519965172,49.85395435229577,218.99398922491253,0.5955897317411296,46.42903937396272,,,,
6,NDW-01,NDW01-3,1963.5,75.15164948,2.402837515,2.402837515,12.17000008,1.373544693,210.05498994395583,377.68916521158,9.516863524288566e-08,156.6875531539226,,,,
7,NDW-01,NDW01-4,2126.6,61.0976944,3.429599762,3.429599762,11.64359665,1.408172369,175.9895702884329,366.74780735748755,0.00036480680343510687,141.04960039083534,,,,
0,,,,,,,,,,,,,69.27105685429346,331.0710307405231,69.27105685429353,232.94168904914278
1,,,,,,,,,,,,,49.853954352295915,218.99398922491253,49.85395435229577,218.9939892249124
2,,,,,,,,,,,,,305.3614134612326,377.68916521158,210.05498994395583,261.967110689952
3,,,,,,,,,,,,,240.66371445254916,366.74780735748755,175.9895702884329,255.2926201369104
