,well,sample,depth,aft_age,aft_age_stderr_min,aft_age_stderr_plus,length_mean,length_std,simulated_AFT_min,simulated_AFT_max,GOF_aft_ages,age_error,modeled_age_prov_0_kinetic_param_0,modeled_age_prov_0_kinetic_param_1,modeled_age_prov_1_kinetic_param_0,modeled_age_prov_1_kinetic_param_1
0,BKZ-01,BKZ01-1,1055.0,182.85,153.18,880.9,9.312222481,2.441424131,198.4199668906807,431.2436090112389,0.12988282517023347,154.4752498512485,413.50055193436765,431.2436090112389,198.4199668906807,261.73024011207025
1,BKZ-01,BKZ01-2,1374.0,249.62,149.77,363.99,11.38775063,2.290417433,224.64613111459974,406.2299810488458,0.5680406835975342,229.12117050494584,373.39205113031284,406.2299810488458,224.64613111459974,270.4328512080542
2,BKZ-01,BKZ01-3,2292.5,152.24,72.54,137.1,10.02509499,2.123560906,93.98365892232881,344.769675743159,0.7020942026418853,86.01334324813622,109.09505760156112,344.769675743159,93.98365892232881,240.17078425983541
3,BKZ-01,BKZ01-4,2503.0,66.48,18.29,25.18,9.520295143,2.321234465,54.58667883605016,329.62043620673796,0.270491044944796,54.586674711928815,54.58667883605016,329.62043620673796,54.586678836050275,230.3883296554293
