well,depth,VR,VR_min,VR_max,VR_unc_1sigma,simulated_vr,residual,vr_SE_plus,vr_SE_min,residual_norm,P_fit
BKZ-01,793.0,0.2899999917,,,0.05,0.27492108284891176,0.015078908851088257,,,0.30157817702176515,0.762973646073406
BKZ-01,853.0,0.3199999928,,,0.05,0.2826872356907434,0.037312757109256633,,,0.7462551421851327,0.4555133035251486
BKZ-01,913.0,0.3199999928,,,0.05,0.2916273570491715,0.028372635750828545,,,0.5674527150165709,0.570406643634259
BKZ-01,973.0,0.3400000036,,,0.05,0.29871324591782755,0.04128675768217244,,,0.8257351536434487,0.40895434621248583
BKZ-01,1033.0,0.3400000036,,,0.05,0.3041715094371974,0.03582849416280259,,,0.7165698832560519,0.47363953298583783
BKZ-01,1093.0,0.3899999857,,,0.05,0.31152387293223904,0.07847611276776095,,,1.569522255355219,0.11652629789546798
BKZ-01,1143.0,0.4499999881,,,0.05,0.3186507301826453,0.13134925791735474,,,2.626985158347095,0.00861450912848194
BKZ-01,1193.0,0.3700000048,,,0.05,0.3434770842711162,0.02652292052888383,,,0.5304584105776766,0.5957941371068445
BKZ-01,1243.0,0.349999994,,,0.05,0.3732857562750622,-0.02328576227506224,,,-0.46571524550124477,0.6414193383140958
BKZ-01,1293.0,0.3400000036,,,0.05,0.3825332072426426,-0.042533203642642625,,,-0.8506640728528525,0.39495598602106297
BKZ-01,1343.0,0.400000006,,,0.05,0.3922424089677315,0.007757597032268526,,,0.15515194064537052,0.876701535197971
BKZ-01,1393.0,0.3000000119,,,0.05,0.40178628920230886,-0.10178627730230888,,,-2.0357255460461774,0.041777922384359956
BKZ-01,1443.0,0.4099999964,,,0.05,0.41092689080058836,-0.0009268944005883517,,,-0.018537888011767034,0.985209752489911
BKZ-01,1493.0,0.400000006,,,0.05,0.4189084520241395,-0.01890844602413949,,,-0.3781689204827898,0.705305111915044
BKZ-01,1543.0,0.4399999976,,,0.05,0.4258162719461976,0.014183725653802437,,,0.28367451307604874,0.7766598283087038
BKZ-01,1592.0,0.4300000072,,,0.05,0.4319554704735376,-0.0019554632735376276,,,-0.03910926547075255,0.9688032738447789
BKZ-01,1642.0,0.4399999976,,,0.05,0.4403097305978815,-0.00030973299788145114,,,-0.006194659957629023,0.9950574080714198
BKZ-01,1692.0,0.4300000072,,,0.05,0.4502974533211841,-0.020297446121184115,,,-0.4059489224236823,0.6847801306380032
BKZ-01,1726.0,0.4900000095,,,0.05,0.457726342288284,0.032273667211715984,,,0.6454733442343197,0.5186204868501199
BKZ-01,1729.0,0.4600000083,,,0.05,0.4584394853053389,0.0015605229946610844,,,0.031210459893221687,0.9751016981906981
BKZ-01,1741.0,0.4499999881,,,0.05,0.46129205737355844,-0.011292069273558414,,,-0.22584138547116828,0.8213247875532008
BKZ-01,1791.0,0.5500000119,,,0.05,0.47320432746636876,0.07679568443363127,,,1.5359136886726255,0.12455955040313516
BKZ-01,1841.0,0.4300000072,,,0.05,0.48493279407522094,-0.05493278687522096,,,-1.0986557375044192,0.2719182559867779
BKZ-01,1891.0,0.4699999988,,,0.05,0.496391502866922,-0.026391504066922034,,,-0.5278300813384407,0.5976172765752628
BKZ-01,1940.0,0.5299999714,,,0.05,0.5062504074761703,0.023749563923829653,,,0.47499127847659306,0.6347931896898718
BKZ-01,1990.0,0.7400000095,,,0.05,0.5154782856033375,0.22452172389666247,,,4.490434477933249,7.1078037930938365e-06
BKZ-01,2040.0,0.7400000095,,,0.05,0.5249698916233291,0.21503011787667092,,,4.3006023575334185,1.703344708303689e-05
BKZ-01,2089.0,0.5400000215,,,0.05,0.5355117341553887,0.004488287344611375,,,0.0897657468922275,0.9284733682859787
BKZ-01,2139.0,0.4699999988,,,0.05,0.5482942032295235,-0.0782942044295235,,,-1.5658840885904701,0.1173757554981294
BKZ-01,2188.0,0.5899999738,,,0.05,0.5610436027159726,0.028956371084027377,,,0.5791274216805475,0.5625031984663442
BKZ-01,2228.0,0.5400000215,,,0.05,0.5692226973483376,-0.029222675848337598,,,-0.584453516966752,0.5589152299539242
