well,depth,VR,VR_min,VR_max,VR_unc_1sigma,simulated_vr,residual,vr_SE_plus,vr_SE_min,residual_norm,P_fit
NDW-01,1608.0,0.3899999857,,,0.05,0.41965089776124265,-0.02965091206124265,,,-0.593018241224853,0.5531689446044443
NDW-01,1614.0,0.4300000072,,,0.05,0.42074885261178463,0.009251154588215349,,,0.18502309176430698,0.8532109236576582
NDW-01,1622.0,0.4900000095,,,0.05,0.42221279241250725,0.06778721708749275,,,1.355744341749855,0.17518052575823795
NDW-01,1630.0,0.2800000012,,,0.05,0.4236716829295456,-0.1436716817295456,,,-2.8734336345909117,0.004060363759318619
NDW-01,1678.0,0.4600000083,,,0.05,0.43135934445864915,0.028640663841350833,,,0.5728132768270167,0.5667711285302806
NDW-01,2649.5,1.0700000525,,,0.05,0.6311241089206485,0.43887594357935145,,,8.777518871587029,0.0
NDW-01,2709.0,1.2999999523,,,0.05,1.4026034740569389,-0.10260352175693876,,,-2.0520704351387753,0.04016281770129648
NDW-01,2803.1999511719,1.4299999475,,,0.05,1.4691260679205398,-0.039126120420539756,,,-0.7825224084107951,0.43390762139363614
NDW-01,2815.0,1.3500000238,,,0.05,1.4777853074476273,-0.1277852836476272,,,-2.555705672952544,0.010597271332460467
NDW-01,2818.0,1.6499999762,,,0.05,1.4800286023525955,0.16997137384740446,,,3.399427476948089,0.0006752708531860829
NDW-01,2890.0,1.5099999905,,,0.05,1.536948151020641,-0.026948160520641196,,,-0.5389632104128239,0.5899122399216383
NDW-01,2890.0100097656,1.4800000191,,,0.05,1.5369568507202476,-0.05695683162024756,,,-1.1391366324049512,0.25464617054206196
NDW-01,2912.0,1.5,,,0.05,1.5560688176765394,-0.05606881767653937,,,-1.1213763535307875,0.26212769715590856
NDW-01,2912.0100097656,1.5599999428,,,0.05,1.5560775173761456,0.003922425423854348,,,0.07844850847708695,0.937471288207075
NDW-01,1608.0,0.3899999857,,,0.05,0.41965089776124265,-0.02965091206124265,,,-0.593018241224853,0.5531689446044443
NDW-01,1614.0,0.4300000072,,,0.05,0.42074885261178463,0.009251154588215349,,,0.18502309176430698,0.8532109236576582
NDW-01,1618.0,0.4600000083,,,0.05,0.4214808225121459,0.03851918578785407,,,0.7703837157570814,0.4410723101515188
NDW-01,1622.0,0.4900000095,,,0.05,0.42221279241250725,0.06778721708749275,,,1.355744341749855,0.17518052575823795
NDW-01,1630.0,0.6299999952,,,0.05,0.4236716829295456,0.20632831227045445,,,4.126566245409089,3.682199682719656e-05
NDW-01,2649.5,1.0700000525,,,0.05,0.6311241089206485,0.43887594357935145,,,8.777518871587029,0.0
NDW-01,2709.0,1.2999999523,,,0.05,1.4026034740569389,-0.10260352175693876,,,-2.0520704351387753,0.04016281770129648
NDW-01,2803.1999511719,1.4299999475,,,0.05,1.4691260679205398,-0.039126120420539756,,,-0.7825224084107951,0.43390762139363614
NDW-01,2815.0,1.3500000238,,,0.05,1.4777853074476273,-0.1277852836476272,,,-2.555705672952544,0.010597271332460467
NDW-01,2818.0,1.6499999762,,,0.05,1.4800286023525955,0.16997137384740446,,,3.399427476948089,0.0006752708531860829
NDW-01,2890.0,1.4800000191,,,0.05,1.536948151020641,-0.056948131920641076,,,-1.1389626384128215,0.25471873769513165
NDW-01,2890.0,1.5099999905,,,0.05,1.536948151020641,-0.026948160520641196,,,-0.5389632104128239,0.5899122399216383
NDW-01,2912.0,1.5,,,0.05,1.5560688176765394,-0.05606881767653937,,,-1.1213763535307875,0.26212769715590856
NDW-01,2912.0,1.5599999428,,,0.05,1.5560688176765394,0.00393112512346061,,,0.07862250246921221,0.9373328885585122
