timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48,z_node_49,T_node_49,z_node_50,T_node_50,z_node_51,T_node_51,z_node_52,T_node_52,z_node_53,T_node_53,z_node_54,T_node_54,z_node_55,T_node_55,z_node_56,T_node_56,z_node_57,T_node_57,z_node_58,T_node_58,z_node_59,T_node_59,z_node_60,T_node_60,z_node_61,T_node_61,z_node_62,T_node_62,z_node_63,T_node_63,z_node_64,T_node_64,z_node_65,T_node_65,z_node_66,T_node_66,z_node_67,T_node_67,z_node_68,T_node_68,z_node_69,T_node_69,z_node_70,T_node_70,z_node_71,T_node_71,z_node_72,T_node_72,z_node_73,T_node_73,z_node_74,T_node_74,z_node_75,T_node_75,z_node_76,T_node_76,z_node_77,T_node_77,z_node_78,T_node_78,z_node_79,T_node_79,z_node_80,T_node_80,z_node_81,T_node_81,z_node_82,T_node_82,z_node_83,T_node_83,z_node_84,T_node_84,z_node_85,T_node_85,z_node_86,T_node_86,z_node_87,T_node_87,z_node_88,T_node_88
10,248289961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.863196899224814,17.28403465595337,25.36495370965665,34.56806931190674,25.866633184806826,63.402799930436196,26.758121289009416,92.23753054896565,27.649540656654775,115.35551368548998,28.3521599007845,138.4734968220143,29.054723299310453
11,248189961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.855196899224747,25.5145273492645,25.594333697838167,51.029054698529,26.33330117725857,79.70777074862497,27.21522934700185,108.38648679872094,28.09708594587506,131.386871872063,28.7925557172422,154.3872569454051,29.487968153994434
12,248089961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.84719689922477,33.74502004257563,25.822723302355254,67.49004008515126,26.79795215202225,96.01274156681373,27.670421946257107,124.53544304847621,28.54281745317153,147.41823005863608,29.23121050112015,170.30101706879594,29.919544788480827
13,247989961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.83919689922478,0.2828209712161535,24.847457176132615,0.565641942432307,24.85571742326945,41.712353303720505,26.043977323378048,82.8590646650087,27.231717368764528,111.23638423691249,28.096030707863548,139.61370380881627,28.960095558658644,162.3868970264627,29.642153670645296,185.16009024410909,30.324050399050872
14,247889961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.831196899224942,3.111030683377689,24.922003652352203,6.222061366755378,25.01280680193236,47.31125167536914,26.19778193673489,88.4004419839829,27.382223796892053,116.72807357420112,28.243572654619125,145.05570516441932,29.10465604553193,167.79134302557128,29.78446745123489,190.52698088672324,30.464104461085054
15,247789961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.823196899224754,0.8099930250519389,24.8538608766153,1.6199860501038779,24.884524766814227,7.274089061366919,25.049048734711366,12.92819207262996,25.213573144238385,53.949513190144884,26.392537391409377,94.97083430765981,27.571470683866618,123.23989716653853,28.42846454982634,151.50896002541725,29.28542554033623,174.20031613726277,29.962283639575016,196.8916722491083,30.639106788470666
16,247689961.24031013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.81519689922482,8.909923275571328,25.151064740099343,17.819846551142657,25.486921657528224,23.4507854318054,25.6500363235642,29.081724312468147,25.813151300890762,69.94204299306472,26.982373550621226,110.8023616736613,28.151586629185218,138.93292905431503,29.000036854330073,167.06349643496878,29.848478827066334,189.65003326220022,30.518959193334517,212.23657008943167,31.18942355176719
17,247589961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.807196899224746,16.199860501038778,25.417349346012056,32.399721002077555,26.02738825827837,38.00981216520003,26.18968070885671,43.619903328322515,26.351960393312183,84.33531981569257,27.515134933323672,125.05073630306262,28.677670427107874,153.05665775331389,29.519565661739296,181.06257920356515,30.36116346241865,203.5547786746439,31.026332444740696,226.04697814572268,31.691312679477782
18,247489961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.799196899224658,16.199860501038778,25.409612083415073,32.399721002077555,26.019909171245445,38.00981216520003,26.18226877037263,43.619903328322515,26.344614750984245,84.33531981569257,27.50823682723646,125.05073630306262,28.671142276785442,153.05665775331389,29.513244769250942,181.06257920356515,30.354994455666812,203.5547786746439,31.02024137238337,226.04697814572268,31.68526088602386
19,247389961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.791196899224836,16.199860501038778,25.40161208341692,32.399721002077555,26.01190917124894,38.00981216520003,26.174268770376557,43.619903328322515,26.336614750988595,84.33531981569257,27.500236827243686,125.05073630306262,28.663142276795075,153.05665775331389,29.505244769261935,181.06257920356515,30.346994455678807,203.5547786746439,31.012241372395884,226.04697814572268,31.677260886036635
20,247289961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.78319689922479,16.199860501038778,25.3936120834169,32.399721002077555,26.003909171248935,38.00981216520003,26.16626877037655,43.619903328322515,26.32861475098859,84.33531981569257,27.492236827243694,125.05073630306262,28.655142276795086,153.05665775331389,29.497244769261947,181.06257920356515,30.33899445567881,203.5547786746439,31.00424137239588,226.04697814572268,31.669260886036632
21,247189961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.775196899224916,0.18871542870764152,24.78077362995941,0.37743085741528304,24.78635034645763,16.57356991737433,25.396199174651493,32.76970897733337,26.00595830935405,38.37928811701575,26.16821660261173,43.98886725669812,26.330463550001266,84.70072069731965,27.493449832866226,125.41257413794119,28.655828383920063,153.41544893701678,29.497579318479776,181.4183237360924,30.339026869813317,203.90821395154452,31.004075984435826,226.39810416699666,31.66892696573036
22,247089961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.76719689922483,2.075869715784057,24.828504857512385,4.151739431568114,24.889811092929516,20.310664080729815,25.497069388130843,36.46958872989152,26.104239082657806,42.07404763517283,26.266179200853685,47.67850654045415,26.42810814050812,88.3547295135905,27.588898165982567,129.03095248672685,28.749094928236104,157.00336077404583,29.588949068467475,184.97576906136482,30.4285100216668,207.44256672055064,31.09214762779696,229.9093643797365,31.755594172305653
23,246989961.2403101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.759196899224825,3.9630240028604717,24.876179407621567,7.9260480057209435,24.99315563582371,24.04775824408531,25.59787902291764,40.16946848244967,26.202514071429764,45.76880715332993,26.3641483792347,51.36814582421019,26.525771524271157,92.00873832986134,27.68444764749816,132.6493308355125,28.842531325583813,160.59127261107488,29.680529068242333,188.53321438663724,30.518234131044608,210.9769194895568,31.180476844701868,233.42062459247634,31.842528816384707
