well,depth,VR,VR_min,VR_max,VR_unc_1sigma,simulated_vr,residual,vr_SE_plus,vr_SE_min,residual_norm,P_fit
KDK-01,717.0,0.3199999928,,,0.05,0.29997878765617475,0.02002120514382527,,,0.40042410287650543,0.6888441744308547
KDK-01,994.0,0.3300000131,,,0.05,0.31503105520936164,0.014968957890638346,,,0.2993791578127669,0.7646507629866859
KDK-01,1261.0,0.349999994,,,0.05,0.4014248652172656,-0.05142487121726563,,,-1.0284974243453127,0.30371590178634067
KDK-01,1387.0,0.4099999964,,,0.05,0.4104666398807267,-0.0004666434807266695,,,-0.00933286961453339,0.9925535555273339
KDK-01,1436.0,0.4900000095,,,0.05,0.4137769977173773,0.0762230117826227,,,1.524460235652454,0.12739378287754421
KDK-01,1486.0,0.5299999714,,,0.05,0.41621623934368124,0.11378373205631875,,,2.275674641126375,0.022865490226271712
KDK-01,1576.0,0.4799999893,,,0.05,0.42092526273712605,0.059074726562873936,,,1.1814945312574787,0.23740632466638467
KDK-01,738.7399902344,0.3199999928,,,0.05,0.3008935745575958,0.01910641824240422,,,0.38212836484808443,0.7023661533268271
KDK-01,1018.0,0.3300000131,,,0.05,0.3218019626949567,0.008198050405043289,,,0.16396100810086578,0.8697618393628832
KDK-01,1192.5899658203,0.5600000024,,,0.05,0.34790161975910233,0.2120983826408977,,,4.241967652817953,2.215686321971333e-05
KDK-01,1275.1700439453,0.349999994,,,0.05,0.40252805983640755,-0.05252806583640757,,,-1.0505613167281513,0.2934601154202363
KDK-01,1414.4599609375,0.4099999964,,,0.05,0.41238124527452297,-0.0023812488745229565,,,-0.04762497749045913,0.9620151254535412
KDK-01,1462.6600341797,0.4900000095,,,0.05,0.4151681266721378,0.07483188282786218,,,1.4966376565572437,0.13448756622783664
KDK-01,1509.3199462891,0.5299999714,,,0.05,0.41733123417742957,0.11266873722257043,,,2.2533747444514085,0.02423553056126737
KDK-01,1594.9599609375,0.4799999893,,,0.05,0.4220065647515464,0.057993424548453576,,,1.1598684909690715,0.2461023531387394
