timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48,z_node_49,T_node_49,z_node_50,T_node_50,z_node_51,T_node_51,z_node_52,T_node_52,z_node_53,T_node_53,z_node_54,T_node_54,z_node_55,T_node_55,z_node_56,T_node_56,z_node_57,T_node_57,z_node_58,T_node_58,z_node_59,T_node_59,z_node_60,T_node_60,z_node_61,T_node_61,z_node_62,T_node_62,z_node_63,T_node_63,z_node_64,T_node_64,z_node_65,T_node_65,z_node_66,T_node_66,z_node_67,T_node_67,z_node_68,T_node_68,z_node_69,T_node_69,z_node_70,T_node_70,z_node_71,T_node_71,z_node_72,T_node_72,z_node_73,T_node_73,z_node_74,T_node_74,z_node_75,T_node_75,z_node_76,T_node_76,z_node_77,T_node_77,z_node_78,T_node_78,z_node_79,T_node_79,z_node_80,T_node_80,z_node_81,T_node_81,z_node_82,T_node_82,z_node_83,T_node_83,z_node_84,T_node_84,z_node_85,T_node_85,z_node_86,T_node_86,z_node_87,T_node_87,z_node_88,T_node_88,z_node_89,T_node_89,z_node_90,T_node_90,z_node_91,T_node_91,z_node_92,T_node_92,z_node_93,T_node_93,z_node_94,T_node_94,z_node_95,T_node_95,z_node_96,T_node_96,z_node_97,T_node_97,z_node_98,T_node_98,z_node_99,T_node_99,z_node_100,T_node_100,z_node_101,T_node_101,z_node_102,T_node_102,z_node_103,T_node_103,z_node_104,T_node_104,z_node_105,T_node_105,z_node_106,T_node_106,z_node_107,T_node_107,z_node_108,T_node_108,z_node_109,T_node_109,z_node_110,T_node_110,z_node_111,T_node_111,z_node_112,T_node_112,z_node_113,T_node_113,z_node_114,T_node_114
10,248289961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.86319689922484,17.29860983425369,25.545849812354692,34.59721966850738,26.228444036490057,63.4561630187323,27.44150743845074,92.31510636895722,28.65461242365413,115.45175208303345,29.610838253242555,138.58839779710968,30.567074957110314
11,248189961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.855196899224772,25.53604308866021,25.860851574387155,51.07208617732042,26.866377271039873,79.77476168868947,28.066530887178317,108.47743720005852,29.26672079771914,131.49630356189869,30.213295204421147,154.51516992373882,31.159877585921866
12,248089961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.847196899224855,33.77347634306673,26.174531318848334,67.54695268613347,27.50163824321774,96.09336035864663,28.68901817538698,124.6397680311598,29.876429279928903,147.5408550407639,30.813449680861215,170.44194205036797,31.75047524675298
13,247989961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.839196899224778,0.283065980251935,24.85043606047491,0.56613196050387,24.86167519365965,41.74753650051205,26.478535895603308,82.92894104052023,28.09495289243155,111.3297309835412,29.27133047986056,139.73052092656218,30.447500571739514,162.52184531689795,31.37597583411094,185.3131697072337,32.30431565692883
14,247889961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.831196899224906,3.1137257827712856,24.95476016937451,6.227451565542571,25.078320041937936,47.35123878530655,26.690853820757052,88.47502600507053,28.30292485174246,116.82604920287241,29.475370929791783,145.1770724006743,30.64758589699333,167.93078476845145,31.57308449890159,190.6844971362286,32.49842963303064
15,247789961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.8231968992248,0.8108785421688389,24.864934112316632,1.6217570843376778,24.906671313121322,7.280755784408774,25.130559410747363,12.93975448447987,25.35445311761756,53.99555563181973,26.95894320341346,95.05135677915958,28.56365451068724,123.34371560838639,29.730273083504134,151.63607443761322,30.896977059835905,174.34543610143623,31.818535357867585,197.05479776525925,32.740129912102944
16,247689961.24031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.815196899224905,8.919663963857229,25.272372509200004,17.839327927714457,25.729546138832376,23.475117578109504,25.951534362751968,29.11090722850455,26.173527977980854,70.0054035338009,27.764889475703253,110.89989983909726,29.356499910730474,139.05351568954535,30.511581097064802,167.20713153999344,31.666780068980497,189.81149436730254,32.579729433628884,212.41585719461165,33.49274015650086
17,247589961.24031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.80719689922461,16.217570843376777,25.637767757232847,32.43514168675355,26.468226513612706,38.05004319244016,26.6891147652241,43.66494469812677,26.909990542943383,84.41426664558396,28.493256509642954,125.16358859304117,30.07591097954836,153.19233576258839,31.222163242722537,181.2210829321356,32.36813806338409,203.7309468065822,33.2739304379513,226.2408106810288,34.17954810603182
18,247489961.24031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.79919689922467,16.217570843376777,25.630201755669656,32.43514168675355,26.461088277347255,38.05004319244016,26.682088208343206,43.66494469812677,26.903074501365776,84.41426664558396,28.48709486415772,125.16358859304117,30.070397802255208,153.19233576258839,31.217036890151878,181.2210829321356,32.36332294191595,203.7309468065822,33.26930383360124,226.2408106810288,34.17505725216044
19,247389961.24031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.79119689922477,16.217570843376777,25.622276942029274,32.43514168675355,26.453238650066353,38.05004319244016,26.674258581354938,43.66494469812677,26.895264874670133,84.41426664558396,28.479428635451754,125.16358859304117,30.062874971538267,153.19233576258839,31.209617948740313,181.2210829321356,32.35600788980926,203.7309468065822,33.262070914622804,226.2408106810288,34.1679064663099
