timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48,z_node_49,T_node_49,z_node_50,T_node_50,z_node_51,T_node_51,z_node_52,T_node_52,z_node_53,T_node_53,z_node_54,T_node_54,z_node_55,T_node_55,z_node_56,T_node_56,z_node_57,T_node_57,z_node_58,T_node_58,z_node_59,T_node_59,z_node_60,T_node_60,z_node_61,T_node_61,z_node_62,T_node_62,z_node_63,T_node_63,z_node_64,T_node_64,z_node_65,T_node_65,z_node_66,T_node_66,z_node_67,T_node_67,z_node_68,T_node_68
10,27430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.971999999999918,8.871040888890091,15.337429328440162,17.742081777780182,15.702873511896156,99.07477563354054,18.927707667692548,180.4074694893009,22.15722102057949,256.7248998266135,25.00352016481446,333.0423301639262,27.852604447878623
11,27380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.951999999999916,17.742081777780182,15.680011945961898,35.484163555560365,16.408080571896015,116.22853834347973,19.5871105062505,196.97291313139908,22.77062083609253,272.846185261493,25.583329513822868,348.719457391587,28.39870880752552
12,27330000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.932000000000016,26.613122666670275,16.019786568449977,53.22624533334055,17.10769460076396,133.3823010534189,20.241560196382576,213.53835677349727,23.37971393594089,288.9674706963726,26.159234448671537,364.39658461924785,28.941314135512616
13,27280000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.912000000000011,35.484163555560365,16.356790558706845,70.96832711112073,17.80178644436976,150.5360637633581,20.8911128261172,230.10380041559546,23.984541649612158,305.08875613125207,26.731268347572428,380.0737118469087,29.480446136110004
14,27230000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.892000000000015,44.35520444445046,16.69106076134155,88.71040888890091,18.490426038085214,167.68982647329727,21.53582537014211,246.66924405769362,24.58514779119216,321.21004156613157,27.299468016123747,395.7508390745695,30.016134520537214
15,27180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.87199999999998,53.22624533334055,17.022633359195606,106.4524906666811,19.173682115433603,184.84358918323647,22.17575396522586,263.23468769979183,25.181575706413792,337.3313270010111,27.863869960271717,411.42796630223035,30.54840886998293
16,27130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.851999999999974,62.097286222230636,17.35154388793959,124.19457244446127,19.851622233100755,201.99735189317562,22.810953917621426,279.80013134189,25.773868263034,353.4526124358906,28.424510369013586,427.1050935298912,31.077298611891198
17,27080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.83199999999997,70.96832711112073,17.677827251396046,141.93665422224146,20.52431279755375,219.15111460311482,23.441479717780542,296.36557498398815,26.362067853419138,369.5738978707701,28.98142511223645,442.782220757552,31.60283301300192
18,27030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.812000000000047,79.83936800001082,18.001517736406917,159.67873600002164,21.19181909090162,236.30487731305402,24.06738505482169,312.93101862608637,26.946216397401486,385.6951833056496,29.534649739006827,458.45934798521284,32.12504117301691
19,26980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.791999999999938,7.0683212550613606,15.083078047849646,14.136642510122721,15.374165445744598,95.28281583027633,18.593046534731723,176.42898915042994,21.816578291600333,252.5842134554482,24.658018106169663,328.73943776046644,27.50223139042417,401.13707113194863,30.064286291130735,473.5347045034308,32.62801281761125
20,26929999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.772000000000041,15.90372282388806,15.424410634633356,31.80744564777612,16.076866425577258,112.3693653958857,19.250319847956494,192.93128514399527,22.428226500432167,268.6449429559561,25.236345601261384,344.3586007679169,28.047122712493646,416.4091095561025,30.583649325712937,488.45961834428806,33.121774390309895
21,26879999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.752000000000033,24.739124392714764,15.762979360872647,49.47824878542953,16.77406280639766,129.45591496149507,19.902705009596573,209.4335811375606,23.03561052267528,284.705672456464,25.810795286325785,359.97776377536746,28.58852782960321,431.68114798025636,31.099785666877818,503.3845321851453,33.61257277944539
22,26829999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.732000000000056,33.57452596154146,16.098821578880614,67.14905192308292,17.465825473291346,146.5424645271044,20.550272025100178,225.93587713112592,23.638798412980513,300.76640195697195,26.381436774442715,375.596926782818,29.126516021438423,446.9531864044103,31.61276470704747,518.3094460260025,34.10047540643184
23,26779999.999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.711999999999854,42.409927530368165,16.43197302826087,84.81985506073633,18.15222220838077,163.62901409271376,21.19307623710842,242.43817312469122,24.237832857268238,316.8271314574798,26.948306076949418,391.2160897902685,29.66111650053191,462.2252248285641,32.12261175138552,533.2343598668597,34.585503585057005
