timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48
0,27929999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.172000000000006,1.6900356294918533,15.232135719796336,3.3800712589837065,15.292271757428233,81.56273088929109,17.980591658305357,159.74539051959846,20.81703866631996
1,27879999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.152000000000003,10.14021377695112,15.570375290737381,20.28042755390224,15.988766754033534,97.92208085308009,19.07505887400893,175.56373415225795,22.16530924061959
2,27829999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.131999999999987,18.590391924410387,15.896144953269456,37.180783848820774,16.66034147052081,114.2814308168691,19.704403616746273,191.38207778491744,22.75225163882536
3,27779999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.111999999999968,27.040570071869652,16.219329150901782,54.081140143739304,17.32676166191249,130.64078078065813,20.329143538227694,207.20042141757693,23.335151602471687
4,27729999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.092000000000008,35.490748219328914,16.539963841039167,70.98149643865783,17.988096013192035,147.00013074444712,20.949353958839158,223.01876505023642,23.914083690537236
5,27679999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.071999999999994,43.94092636678818,16.8580818421923,87.88185273357637,18.64440704431606,163.35948070823613,21.565086308159977,238.83710868289592,24.489088085228566
6,27629999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.052000000000005,52.39110451424745,17.17371540717079,104.7822090284949,19.295756241295763,179.71883067202515,22.176391274809884,254.6554523155554,25.060204526151438
7,27579999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.031999999999995,60.841282661706714,17.486896236158348,121.68256532341343,19.94220407911949,196.07818063581416,22.7833188209148,270.4737959482149,25.62747231562176
8,27529999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.011999999999988,69.29146080916598,17.797655489080263,138.58292161833197,20.58381004338236,212.43753059960318,23.38591819440247,286.2921395808744,26.19093032146239
9,27479999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.992000000000013,77.74163895662525,18.106023797623752,155.4832779132505,21.22063265133475,228.7968805633922,23.98423794108252,302.1104832135339,26.75061697995667
