model_scenario_number,model_run,model_error,well,computational_time,C0,C1,C2,C3,NcompactionIterations,ahe_method,alpha,annealing_equation,annealing_kinetic_param,annealing_kinetics_values,auto_calibrate_VR,binsize,calculate_thermochron_for_all_nodes,contour_variable,correct_exhumation_duration,csv_save_interval,datafile_output_dir,decay_constant_232Th,decay_constant_235U,decay_constant_238U,exhumation_duration_factor,exhumation_period_ends,exhumation_period_starts,exhumation_segment_factor,exhumed_strat_units,exhumed_thicknesses,fig_adj,gof_weights,heatflow_ages,heatflow_history,log_tT_paths,make_model_data_fig,max_decompaction_error,max_hf_timestep,max_thickness,original_thicknesses,output_dir,provenance_start_temp,provenance_time_nt,resample_timesteps,save_model_run_data,show_strat_column,show_thermochron_data,simulate_AFT,simulate_He,simulate_VR,simulate_salinity,two_stage_exhumation,use_caxis_correction,use_strat_map_input,vr_unc_sigma,wells,well,T_gof,vr_gof,aft_age_gof,aft_age_error,he_gof,he_error,mean_gof,resetting_depth_model_min,resetting_depth_model_max,resetting_depth_data_min,non-resetting_depth_data_max,max_temperature,max_present_temperature,max_depth,vr_surface,vr_bottom,aft_age_surface_min,aft_age_surface_max,aft_age_bottom_min,aft_age_bottom_max,full_resetting_depth_aft_model_min,full_resetting_depth_aft_model_max,full_resetting_T_aft_model_min,partial_resetting_depth_aft_model_min,partial_resetting_depth_aft_model_max,vr_rmse,start_exhumation_phase_0,end_exhumation_phase_0,mean_cooling_exhumation_phase_0,min_cooling_exhumation_phase_0,max_cooling_exhumation_phase_0,exhumed_thicknesses_0
10,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.074 0.074],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.6666666666666666,0.45022226933465603,0.4416987057798914,217.2055928302059,,,,,,,,83.0401116456286,83.0401116456286,2205.195045020053,0.21133750464649373,0.5233652249457944,196.29296375126333,439.1083077778643,141.23354648990326,357.4641516880646,-99999.9,-99999.9,-99999.9,1705.1959511419448,-99999.9,0.10918680002356493,,,,,,0.0
11,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.076 0.076],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.6666666666666666,0.46678379878080806,0.45887195956681637,213.70355883821213,,,,,,,,85.02566662965052,85.02566662965052,2205.195045020053,0.21133750464649975,0.5328592122306589,196.2929637512632,439.1083077778643,124.79487348707502,353.7664879155212,-99999.9,-99999.9,-99999.9,1705.1959511419448,-99999.9,0.1060543900961473,,,,,,0.0
12,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.078 0.078],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.484226467029795,0.47620780443848193,209.96205199670612,,,,,,,,87.01122161366762,87.01122161366762,2205.195045020053,0.21133750464650045,0.5440713839037006,196.2929637512634,439.10830777786424,107.67535460588921,349.9569610333571,-99999.9,-99999.9,-99999.9,1705.1959511419448,-99999.9,0.10274361055701846,,,,,,0.0
13,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.08 0.08],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.5025406879780785,0.49255178523177456,206.5635745459136,,,,,,,,88.99677659768842,88.99677659768842,2205.195045020053,0.2113375046465004,0.55702978896303,196.2929637512632,439.1083077778639,89.98240412670106,346.03143113291173,-99999.9,-99999.9,-99999.9,1705.1959511419448,-99999.9,0.09929165215940057,,,,,,0.0
14,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.082 0.082],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.5217585250217175,0.5159636009426906,201.96355516861428,,,,,,,,90.9823315817067,90.9823315817067,2205.195045020053,0.21133750464649684,0.5713461019508987,196.2929637512636,439.10830777786384,71.96433676550687,341.9855319020379,-99999.9,-99999.9,-99999.9,1705.1959511419448,-99999.9,0.09575128369488056,,,,,,0.0
15,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.084 0.084],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.5419859050056423,0.5492225336876143,196.9705366042599,,,,,,,,92.96788656571782,92.96788656571782,2205.195045020053,0.21133750464649087,0.5862370272147424,196.29296375126333,439.10830777786384,54.08482310932395,337.8146537257988,-99999.9,-99999.9,-99999.9,1701.7459731556241,-99999.9,0.09218821940429799,,,,,,0.0
16,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.086 0.086],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.5611709652703568,0.5830387337058291,191.61730523857116,,,,,,,,94.95344154974407,94.95344154974407,2205.195045020053,0.21133750464649637,0.6006270531441699,196.29296375126344,439.1083077778639,37.22144302621582,333.5139247412072,-99999.9,-99999.9,-99999.9,1698.2959951693035,-99999.9,0.08867599684042946,,,,,,0.0
17,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.088 0.088],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.5780527023039278,0.6084763025657236,185.93343747741358,,,,,,,,96.93899653376695,96.93899653376695,2205.195045020053,0.2113375046465043,0.613460633996573,196.29296375126358,439.10830777786424,24.385180370336926,329.0781895577634,-99999.9,-99999.9,-99999.9,1691.6460561614979,-99999.9,0.08528748136605178,,,,,,0.0
18,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.09 0.09],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,1.0,0.5958740488304429,0.6298454078856105,180.14013304466056,,,,,,,,98.92455151778398,98.92455151778398,2205.195045020053,0.2113375046465028,0.6241829961843265,196.29296375126333,439.1083077778643,16.412881912011603,324.50198529684207,-99999.9,-99999.9,-99999.9,1684.9961171536922,-99999.9,0.08208316480880452,,,,,,0.0
19,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[250.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.054 0.054],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.0,0.35226794863855987,0.3926893798305842,234.66545363003473,,,,,,,,63.18456180544838,63.18456180544838,2205.195045020053,0.21133750464650783,0.438976886532826,196.29296375126327,439.10830777786424,227.5460464971886,387.88071072122426,-99999.9,-99999.9,-99999.9,1874.9957037243144,-99999.9,0.12729065372871437,90.0,65.5,8.881842517727533,8.878152728838806,8.89289875580916,250.0
